City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Los Llanos De Aridane,ES,74.12,scattered clouds,28.6585,-17.9182,Valle Aridane
495,Karratha,AU,69.71,clear sky,-20.7377,116.8463,ibis Styles Karratha
499,Gamboma,CG,74.75,light rain,-1.8764,15.8644,Residence N'Keni
502,Wenatchee,US,75.04,clear sky,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
503,Alappuzha,IN,79.56,overcast clouds,9.49,76.3264,Panoramic Sea Resort
504,Nahavand,IR,64.0,clear sky,34.1885,48.377,فربد سلگی
506,Fare,PF,78.4,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
507,Manjeri,IN,79.48,mist,11.1167,76.1167,ITTC
508,Muroto,JP,75.29,clear sky,33.2833,134.15,Oota Ryokan
510,Kuala Terengganu,MY,78.48,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
511,Kerema,PG,76.35,scattered clouds,-7.9631,145.7785,Frena Lodge
512,Yukuhashi,JP,73.24,clear sky,33.7287,130.983,行橋市研修センター ゆくトピア
515,Straumen,NO,64.4,overcast clouds,63.8709,11.2999,Jægtvolden Fjordhotell
516,Dauphin,CA,73.54,haze,51.1494,-100.0502,Canway Inn & Suites
517,Matagami,CA,60.3,clear sky,49.7502,-77.6328,Hôtel Matagami
519,Wadi Musa,JO,60.49,few clouds,30.3222,35.4793,Petra Palace Hotel
520,Umuahia,NG,74.08,scattered clouds,5.5263,7.4896,Hotel Macbek Limited
521,Brits,ZA,67.01,clear sky,-25.6347,27.7802,By Die Vlei
523,Tabuk,PH,73.71,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
526,Paoua,CF,69.22,moderate rain,7.2427,16.4406,Quartier Paoua Elien
527,Shimoda,JP,68.11,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
530,Eureka,US,80.67,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
534,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
535,Comodoro Rivadavia,AR,64.26,scattered clouds,-45.8667,-67.5,Austral Hotel
538,Tautira,PF,80.62,clear sky,-17.7333,-149.15,Pension Oaoa
539,San Isidro,PE,62.26,scattered clouds,-12.1167,-77.05,Soul Mate-Inn
544,Pundaguitan,PH,80.91,light rain,6.3711,126.1689,Leonardo Family Beach House 1
545,Honiara,SB,78.78,scattered clouds,-9.4333,159.95,Heritage Park Hotel
546,Gros Cailloux,MU,72.66,few clouds,-20.2072,57.43,Ti Cabanon (Cabe Ltd.)
548,Tanabe,JP,69.89,few clouds,33.7333,135.3667,美吉屋旅館
549,Davila,PH,81.63,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
551,Ihosy,MG,66.7,scattered clouds,-22.4,46.1167,Tamana Hôtel
553,Kloulklubed,PW,83.01,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
554,Sydney,AU,64.38,clear sky,-33.8679,151.2073,The Grace Sydney
555,Pombia,IT,64.0,broken clouds,45.653,8.6336,Albergo Fontana
556,Boueni,YT,75.18,broken clouds,-12.9025,45.0761,The feet in water
557,Moyo,UG,66.67,scattered clouds,3.6609,31.7247,Amelia Guest House
561,Los Arabos,CU,84.13,broken clouds,22.7281,-80.7214,Motel Los Pinos
562,Teknaf,BD,79.3,overcast clouds,20.8624,92.3058,Forestry Guesthouse
563,Senador Jose Porfirio,BR,83.34,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
565,Maningrida,AU,79.93,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
566,Shingu,JP,73.27,overcast clouds,33.7333,135.9833,Shingu UI Hotel
567,Luoyang,CN,70.48,light rain,34.6836,112.4536,易家国际青年旅舍
568,Thunder Bay,CA,62.29,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
570,Ndjole,GA,74.89,light rain,-0.1783,10.7649,Hotel Kevazingo
571,Douglas,US,78.73,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
575,Shenjiamen,CN,77.18,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
578,Umred,IN,76.86,scattered clouds,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
581,Neiafu,TO,76.96,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
582,Asfi,MA,69.31,overcast clouds,32.2994,-9.2372,Hôtel Abda
583,Beloha,MG,71.65,clear sky,-25.1667,45.05,
584,Caala,AO,68.11,scattered clouds,-12.8525,15.5606,Adymuzik Oficial
585,Kindu,CD,68.32,overcast clouds,-2.95,25.95,Résidence Okanda
587,Dubai,AE,84.78,overcast clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
589,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
590,Nchelenge,ZM,74.01,light rain,-9.3451,28.734,KD Travellers Home
592,Kisangani,CD,70.05,overcast clouds,0.5167,25.2,Grand Ramela Hotel
593,Kutum,SD,81.34,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
594,San-Pedro,CI,77.76,overcast clouds,4.7485,-6.6363,Hotel Maria
599,Sanmenxia,CN,66.38,light rain,34.7747,111.1814,Pengzhou Hotel
601,Abha,SA,62.85,clear sky,18.2164,42.5053,Abha Hotel
602,Micheweni,TZ,75.65,broken clouds,-4.9667,39.8333,
603,Chiang Klang,TH,72.05,broken clouds,19.2938,100.8617,Sangthong Resort
604,Tapes,BR,65.35,overcast clouds,-30.6733,-51.3958,Cabanas Camping Union
608,Ilo,PE,63.23,clear sky,-17.6394,-71.3375,Torreblanca Hotel
609,Trairi,BR,81.37,clear sky,-3.2778,-39.2689,janelas do mar
610,Pasni,PK,81.19,broken clouds,25.2631,63.471,Kashmiri Hotal
611,Bin Qirdan,TN,77.56,clear sky,33.1378,11.2197,Hôtel Palace
